INDEX,PLAYER_ID,PLAYER_NAME,R_PPG,R_APG,R_RPG,R_SPG,R_BPG,R_FG,R_eFG,R_TS,P_PPG,P_APG,P_RPG,P_SPG,P_BPG,P_FG,P_eFG,P_TS
4264,78346,Marko Todorovich,11.4,3.0,3.5,0.0,0.0,0.309,0.309,0.389,10.3,0,0,0,0,0,0,1.468
4265,78348,Ray Tolbert,3.8,0.5,2.4,0.3,0.4,0.497,0.497,0.511,2.0,0.2,1.0,0.8,0,0.6,0.6,0.587
4266,78347,Tom Tolbert,6.5,0.9,4.0,0.4,0.3,0.46,0.468,0.522,3.6,0.9,2.0,0.3,0.4,0.424,0.439,0.423
4267,201229,Anthony Tolliver,6.3,0.9,3.4,0.4,0.3,0.413,0.53,0.563,2.4,0.2,1.2,0.1,0.1,0.55,0.75,0.751
4268,78349,Dean Tolson,5.0,0.4,2.2,0.4,0.3,0.546,0.546,0.562,1.0,0.2,1.8,0,0,0.125,0.125,0.225
4269,78350,Rudy Tomjanovich,17.4,2.0,8.1,0.7,0.3,0.501,0.502,0.539,13.8,1.6,5.1,0.3,0.2,0.489,0.49,0.528
4270,78351,Andrew Toney,15.9,4.2,2.2,0.8,0.2,0.5,0.512,0.565,17.4,4.5,2.3,0.8,0.2,0.478,0.484,0.537
4271,78352,Sedric Toney,4.0,2.3,1.0,0.5,0.0,0.364,0.405,0.469,3.7,0.7,0,0.3,0,0.5,0.75,0.799
4272,78353,Andy Tonkovich,2.6,0.6,0.0,0.0,0.0,0.268,0.268,0.293,0,0,0,0,0,0,0,0
4273,342,Andy Toolson,2.6,0.5,1.2,0.2,0.0,0.397,0.449,0.49,0,0.5,0,0.5,0,0.0,0.0,0
4274,78355,Jack Toomay,6.1,0.7,0.0,0.0,0.0,0.367,0.367,0.443,3.5,0,0,0,0,0.2,0.2,0.433
4275,78356,Bernard Toone,2.4,0.5,1.5,0.2,0.2,0.359,0.367,0.402,0,0.2,0.2,0,0,0.0,0.0,0
4276,1630167,Obi Toppin,7.0,0.9,3.0,0.3,0.3,0.492,0.566,0.589,6.8,0.6,3.2,0.5,0.2,0.452,0.538,0.557
4277,78357,Irv Torgoff,6.2,0.8,0.0,0.0,0.0,0.248,0.248,0.312,4.9,0.9,0,0,0,0.155,0.155,0.211
4278,78358,Gene Tormohlen,4.4,0.9,4.1,0.0,0.0,0.411,0.411,0.433,2.3,0.8,2.4,0,0,0.4,0.4,0.434
4279,2351,Oscar Torres,5.4,0.5,1.6,0.4,0.1,0.401,0.459,0.512,0,0,0,0,0,0,0,0
4280,1629308,Juan Toscano-Anderson,4.0,1.8,2.9,0.6,0.3,0.496,0.552,0.568,0.8,0.6,0.7,0.1,0.1,0.4,0.5,0.486
4281,78359,Bill Tosheff,9.2,3.3,3.0,0.0,0.0,0.315,0.315,0.397,4.0,2.8,2.8,0,0,0.088,0.088,0.208
4282,78360,Bob Tough,6.4,1.6,0.0,0.0,0.0,0.278,0.278,0.335,0,0,0,0,0,0,0,0
4283,1626253,Axel Toupane,3.0,0.5,1.1,0.3,0.3,0.394,0.475,0.511,1.2,0,1.0,0,0,0.5,0.625,0
4284,78361,Monte Towe,2.5,1.7,0.7,0.3,0.0,0.406,0.406,0.436,4.0,1.0,0,0,0,0.667,0.667,0
4285,700,Keith Tower,1.8,0.1,1.3,0.1,0.2,0.429,0.429,0.459,0,0,0,0,0,0,0,0
4286,78363,William Towery,9.6,2.6,0.0,0.0,0.0,0.283,0.283,0.354,0,0,0,0,0,0,0,0
4287,78364,Linton Townes,4.1,0.5,1.1,0.3,0.1,0.441,0.459,0.484,5.1,0.6,0.8,0,0,0.486,0.5,0.538
4288,1626157,Karl-Anthony Towns,23.0,3.2,11.2,0.8,1.3,0.526,0.577,0.623,18.6,2.1,11.4,0.6,1.3,0.471,0.517,0.586
4289,78365,Raymond Townsend,4.8,1.4,1.0,0.6,0.1,0.411,0.415,0.451,0,0,0,0,0,0,0,0
4290,78366,George Trapp,8.8,1.0,3.9,0.5,0.3,0.444,0.444,0.48,8.3,0.7,3.8,0.2,0.5,0.462,0.462,0.484
4291,78367,John Trapp,7.7,1.0,4.5,0.0,0.0,0.418,0.418,0.46,2.0,0.5,1.6,0,0,0.242,0.242,0.277
