All-Rookie 2nd Team
YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG
,Bryant Reeves,C,Vancouver Grizzlies,No stats available.
,Rasheed Wallace,PF,Washington Bullets,.487,10.1,4.7,1.3,0.8
1995,Juwan Howard,PF,Washington Bullets,.489,17.0,8.4,2.5,0.2
,Donyell Marshall,PF,Golden State Warriors,.394,12.6,5.6,1.5,1.2
,Eric Montross,C,Boston Celtics,.534,10.0,7.3,0.5,0.8
,Wesley Person,SF,Phoenix Suns,.484,10.4,2.6,1.3,0.3
,Jalen Rose,SG,Denver Nuggets,.454,8.2,2.7,4.8,0.3
,Sharone Wright,C,Philadelphia 76ers,.465,11.4,6.0,0.6,1.3
1994,Shawn Bradley,C,Philadelphia 76ers,.409,10.3,6.2,2.0,3.0
,Lindsey Hunter,SG,Detroit Pistons,.375,10.3,2.3,4.8,0.1
,Toni Kukoc,SF,Chicago Bulls,.431,10.9,4.0,3.4,0.4
,Nick Van Exel,PG,Los Angeles Lakers,.394,13.6,2.9,5.8,0.1
,Dino Radja,C,Boston Celtics,.521,15.1,7.2,1.4,0.8
1993,Robert Horry,PF,Houston Rockets,.474,10.1,5.0,2.4,1.1
,Latrell Sprewell,SG,Golden State Warriors,.464,15.4,3.5,3.8,0.7
,Clarence Weatherspoon,PF,Philadelphia 76ers,.469,15.6,7.2,1.8,0.8
,Walt Williams,F,Sacramento Kings,.435,17.0,4.5,3.0,0.5
,Richard Dumas,F,Phoenix Suns,.524,15.8,4.6,1.3,0.8
1992,Terrell Brandon,PG,Cleveland Cavaliers,.419,7.4,2.0,3.9,0.3
,Rick Fox,SF,Boston Celtics,.459,8.0,2.7,1.6,0.4
,Stanley Roberts,C,Orlando Magic,.529,10.4,6.1,0.7,1.5
,Mark Macon,G,Denver Nuggets,.375,10.6,2.9,2.2,0.2
,Larry Stewart,F,Washington Bullets,.514,10.4,5.9,1.6,0.6
1991,Mahmoud Abdul-Rauf,G,Denver Nuggets,.413,14.1,1.8,3.1,0.1
,Willie Burton,G,Miami Heat,.441,12.0,3.4,1.4,0.3
,Gary Payton,PG,Seattle SuperSonics,.450,7.2,3.0,6.4,0.2
,Felton Spencer,C,Minnesota Timberwolves,.512,7.1,7.9,0.3,1.5
,Travis Mays,,Sacramento Kings,No stats available.
1990,Sean Elliott,F,San Antonio Spurs,.481,10.0,3.7,1.9,0.2
,J.R. Reid,F,Charlotte Hornets,.440,11.1,8.4,1.2,0.7
,Glen Rice,SF,Miami Heat,.439,13.6,4.6,1.8,0.4
,Blue Edwards,G,Utah Jazz,.507,8.9,3.1,1.8,0.4
,Stacey King,F,Chicago Bulls,.504,8.9,4.7,1.1,0.7
1989,Rex Chapman,G,Charlotte Hornets,.414,16.9,2.5,2.3,0.3
,Kevin Edwards,G,Miami Heat,.425,13.8,3.3,4.4,0.3
,Brian Shaw,G,Boston Celtics,.433,8.6,4.6,5.8,0.3
,Rod Strickland,PG,New York Knicks,.467,8.9,2.0,3.9,0.0
,Chris Morris,F,New Jersey Nets,.457,14.1,5.2,1.6,0.8
