INDEX,ID,PLAYER_NAME,REG_OFF_REB,REG_DEF_REB,PLY_OFF_REB,PLY_DEF_REB
478,160,Tim Breaux,0.4,0.6,0,0
479,2452,J.R. Bremer,0.3,1.5,0.0,1.5
480,76245,Pete Brennan,0,0,0,0
481,76246,Tom Brennan,0,0,0,0
482,76247,Randy Breuer,1.6,2.8,0.9,2.2
483,201147,Corey Brewer,0.7,2.0,0.6,1.4
484,2249,Jamison Brewer,0.3,0.6,1.0,1.0
485,76248,Jim Brewer,2.4,4.0,2.0,4.6
486,76249,Ron Brewer,0.7,1.3,0.4,1.1
487,200758,Ronnie Brewer,0.9,1.9,0.8,1.8
488,2056,Primoz Brezec,1.6,2.2,0.3,0.5
489,76250,Frank Brian,0,0,0,0
490,783,Frank Brickowski,1.4,3.3,0.8,2.5
491,76252,Junior Bridgeman,1.1,2.5,1.1,2.4
492,76253,Bill Bridges,2.6,3.9,1.4,2.7
493,1628969,Mikal Bridges,0.9,3.1,0.9,3.6
494,1628970,Miles Bridges,1.1,4.5,0,0
495,76254,Al Brightman,0,0,0,0
496,1628578,Amida Brimah,0.4,1.2,0,0
497,76255,Audley Brindley,0,0,0,0
498,1628515,Isaiah Briscoe,0.1,1.8,0,0
499,76256,John Brisker,1.3,1.9,0,0
500,1629052,Oshae Brissett,1.2,3.0,0,0
501,76257,Allan Bristow,1.4,2.7,1.0,1.2
502,76258,Tyrone Britt,0,0,0,0
503,76259,Wayman Britt,0.1,0.4,0,0
504,76260,Mike Brittain,0.3,1.1,1.0,0.0
505,76261,David Britton,0.0,1.0,0,0
506,201972,Jon Brockman,1.4,1.7,0,0
507,1629151,Ryan Broekhoff,0.2,1.6,0,0
508,76262,Jim Brogan,0.8,0.7,0,0
509,1627763,Malcolm Brogdon,0.8,3.4,0.6,3.3
510,76263,Gary Brokaw,0.4,1.3,0.5,2.0
